FHIR Resource	FHIR Field	C2M2 Entity	C2M2 Field
DocumentReference	DocumentReference_identifier_0_value	file	local_id
DocumentReference	DocumentReference_meta_tag_0_code	file	project_local_id
DocumentReference	DocumentReference_content_1_attachment_url	file	persistent_id
DocumentReference	DocumentReference_content_0_attachment_extension_0_valueDecimal	file	size_in_bytes
DocumentReference	DocumentReference_content_0_attachment_extension_2_valueCodeableConcept_text	file	sha256
DocumentReference	DocumentReference_content_0_attachment_extension_1_valueCodeableConcept_text	file	md5
DocumentReference	DocumentReference_content_0_attachment_url	file	filename
DocumentReference	DocumentReference_content_0_format_display	file	file_format
DocumentReference	DocumentReference_type_coding_0_code	file	data_type
Specimen	Specimen_meta_security_1_code	file	dbgap_study_id
